"title","external_video_id","video_shortened_id"
"My Mom | Hillary Clinton","o1sU_cSdg2c",188
"A message to the South Carolina Democratic Party","D-zDdx3YLt8",189
"Bernie Sanders, ""Can I finish?""","oVbr8CW0vts",190
"Hillary Clinton GOTV | Hillary Clinton","DBioN-vQhgE",191
"From The Desk Of Donald Trump- Most Popular Tweet Answered...","Wc8a7L0lS58",192
"Trump Stepped Up!","xG7YE-_EZYg",193
"Inequality | Hillary Clinton","xJkU9vv7FNA",194
"Steve King and Ted Cruz: Two Peas In a Pod","EnVWXFXx9ls",195
"Part 4 | The History of ""Women's Rights Are Human Rights"" | Hillary Clinton","QdGORFmbo7s",196
"Ask yourself | Hillary Clinton","vpC7brbOs_E",197
"Can you tell us a fun story about a world leader you've met? | Quick Question | Hillary Clinton","pQQy1bMchSc",198
"Four generations of a family in Ohio on their support for Hillary Clinton | Hillary Clinton","B4MhOb2Xkjc",199
"Go to bat | Hillary Clinton","B_AQLyib0hE",200
"Is This Who We Want?","V_eTKSzoAUY",201
"What was some of your mom's best advice? | Quick Question | Hillary Clinton","VR6mTHaT23g",202
"""Getting Started"" supporters: Christie and Kassie | One year since launch | Hillary Clinton","yYuN9Soby1E",203
"Ben Carson Endorses Donald Trump","iH8jqKIW8eg",204
"Campaign Strategy Update | State of the Race with Robby Mook | Hillary Clinton","6SuSUWprwzQ",205
"Thank You Iowa","4qpCWFVlZvc",206
"Happy Veterans Day | Hillary Clinton","LkJ9I4MPhTw",207
"Brave | Hillary Clinton","32j0pJuA40Y",210
"Caucus on Monday | Hillary Clinton","JWlsqJ6BXSU",212
"Secretary Hillary Clinton's Closing Statement from the PBS Democratic Debate | Hillary Clinton","Fy4EiS-7M7M",213
"The Same | Hillary Clinton","4CnP5d9RbvM",214
"All The Good | Hillary Clinton","3iAMPzQzI-4",215
"Voters Speak - Donald J. Trump for President","zSpQaqoTnnM",217
"The Best (Or Worst) Moments From the GOP Debate","0tAnQtkjX2I",218
"Inequality | Hillary Clinton","gbviEohhqWo",219
"The Same | Hillary Clinton","xlnMY_xU_2k",220
"Success by Trump Launch Event at Macy's Herald Square 2012","kbleBn4-79g",221
"Easy As 1,2,3 | Hillary Clinton","pF44E2ow2OM",222
"Breaking Barriers | Hillary Clinton","hiqGFT3GgOk",223
"Hillary Clinton Speech at the Democratic National Committee Summer Meeting | Hillary Clinton","SVthbVuTZWM",224
"Vote March 5 | Hillary Clinton","8aCvLGCAB7w",225
"Clip E","lwknyqSe2-4",226
"Vote March 8 | Hillary Clinton","GMgcvsBpZBg",227
"What Is Donald Trump Hiding in His Tax Returns?","8sgqnIXSNvA",228
"New World | Hillary Clinton","Ew7JdHbCIfg",229
"Easy as 1-2-3 | Hillary Clinton","9vnv1OmUwDU",230
"The GOP on Climate Change... They're All the Same.","IZHF1Upckek",231
"DONTKNOW 8","HQI_m_bpVWQ",232
"Competent Leadership","bf2XiotelhQ",233
"Friday #HotTakes | 01.22.2016","vStJECHmYP0",234
"Brave | Hillary Clinton","2V-MhkgGp_E",235
"The Eighth Annual Eric Trump Foundation Golf Invitational","tuu92ZHIvWc",236
"The Celebrity Apprentice Video Blog Week 5","iWV-oskagCY",237
"All the Good | Hillary Clinton","j9_pNyQj3XM",238
"The Seventh Annual Eric Trump Foundation Golf Invitational","ZdRLDJsMceU",239
"Ivanka Trump Update October 2014","VlLc70oEJ60",240
"Keeping America Safe: Flint Water Crisis","GqS9AOw7ZEY",241
"The GOP's Anti-Muslim Policies and Rhetoric... They're All the Same.","bE79ujYIxQE",242
"Bernie Sanders: President Obama's Harshest Critic","QIJZoAn_bz8",243
"Young Future Ohio Voter Asks Hillary a Question | Hillary Clinton","9Kk-btNY9-c",244
"From The Desk Of Donald Trump: Windfarms","kPSBI6P21jk",245
"Ivanka Trump's Ready-To-Wear Fashion Show 2012","fF2n24OHLxY",246
"Criticism | Hillary Clinton","8F8V2JoMlAs",247
"The Same | Hillary Clinton","a9RV9Ym2aFw",248
"The Frontrunners","3CfdLWfh-xc",249
"The Return of Mitt Romney: A #TBT No One Asked For","kAURdFxAra4",250
"One Week Down, 26 To Go! (Ryan Version)","vjs1gBJB8Wo",251
"Alexis | Hillary Clinton","6Y2sq8iDl8g",252
"Healing Wounds","EHl5GbDWpaA",254
"Una de mis héroes | Hillary Clinton","b8rKIXA5ToU",255
"Great America PAC Co-Chairman Eric Beach on CNN","fASxk-eUaMg",256
"Hillary Clinton at the 2015 U.S. Conference of Mayors","j5Xv80YydnI",258
"Search | Hillary Clinton","z5YSr09BDyA",259
"The Same | Hillary Clinton","NiHO7sfxan0",260
"Caucus Sunday | Hillary Clinton","3C4xWpB7yzk",261
"What's At Stake?","gZ_DSdTz7NU",262
"Ivanka Trump - Get Out To Vote Georgia","34arafXDvvs",263
"Did you learn anything from your mom you want to pass on to your children? | Hillary Clinton","eIdg4sInwDw",264
"Easy as 1, 2, 3 | Hillary Clinton","NZz8bo6wC2Q",265
"Strong For The Advancement Of Women","ND_2B8JyDgA",266
"Progress Together SC | Hillary Clinton","cJOms7GVRbc",267
"Ivanka Trump December 2013 Update","s2rAFT-WSus",268
"What is the best part about watching Chelsea become a mom? | Hillary Clinton","dpv-df1aeZk",269
"Jobs","ekVdg481lp4",270
"Bernie Sanders Offers Very Few Specifics","P0Q_oFOc2Y8",271
"Easy as 1-2-3 | Hillary Clinton","csnv59X8C9c",272
"Una Bandera | Hillary Clinton","jIy8RBnrMgA",273
"Vote March 15 | Hillary Clinton","PSQm5YPfOn4",274
"Hillary Clinton In Iowa","urlB0fQtH1U",275
"The Next Generation: Eric Trump","ZHZpHDNxDV4",276
"Stand | Hillary Clinton","vRDEUn6EiKA",277
"Swipe Right for Hillary","r8iEiBRmpK0",278
"From The Desk Of Donald Trump 3/21/11","KmtDLa03DpM",279
"Get Out To Vote - Indiana","87wUgFYiVVI",280
"From The Desk Of Donald Trump: News of the Week","haoHuJJkk_4",281
"Romney and Stage Stores: ""Every Layoff Counts""","f9srDDQ0qUI",282
"Clip C","5kuKkciJS0Q",284
"Every Corner | Hillary Clinton","sE6plIVriu0",285
"Hillary Clinton's Presidential Town Hall Performance","6czKKFI7z0A",286
"Bernie Sanders, the NRA, and Immunity for the Gun Industry","Xqqtg5E1DQs",287
"Predatory | Hillary Clinton","_glCj3DcPJs",288
"RADIO 2 LA Vote Today","F5aSRbMrfNI",290
"Big Questions for Little Supporters | Hillary Clinton","CF_h2I08D6U",291
"Trump International Realty New York Presents: Waterfall Mansion - 170 East 80th Street","-rTtIZ2pLts",292
"Caucus tonight  | Hillary Clinton","zP7mbMfa7Ss",293
"It's Trump Mania!","4sn62NoiE5k",294
"GOP vs the Experts on Iran Deal","HmtoLliDRwg",296
"Brave | Hillary Clinton","XJ9JGim3KDY",297
"Brave | Hillary Clinton","pvFWQOesPDo",299
"Secretary Hillary Clinton's Closing Statement from the Third Democratic Debate | Hillary Clinton","ZAPV5jFTNZo",300
"More | Hillary Clinton","DXG8UICi4y8",301
"Caucus Tonight | Hillary Clinton","t44ofyCBdic",302
"Live Free or Die","Ord_6KYhDRk",303
"Another Super Tuesday for Hillary","moMWmH2L7-M",304
"From The Desk Of Donald Trump 3/16/11","0gR7iBZhbLE",306
"Trump's America","a3XBHMGctN0",307
"Representative John Lewis speaks on the importance of voting | Hillary Clinton","hqf2DHj6aH4",309
"Stand | Hillary Clinton","Dw3wn_CETvI",310
"Admit | Hillary Clinton","TX8AAUOGKSg",311
"Friday #HotTakes | 03.25.2016","c7umZZ_CjC8",312
"Friday #HotTakes | 02.12.2016","OJCus_tARHY",313
"The Same | Hillary Clinton","QpT-fGy1Yv8",314
"Rubio/Haley South Carolina","WKm6A1tc3zg",315
"Serious Matters","OKTTxKriW5o",316
"Building on Progress","kEkJ56DQmfk",317
"Why Hillary is Supporting the Iran Deal | Hillary Clinton","JoOCqclpuLw",318
"Donald J. Trump Victory Speech New York April 19th, 2016","-8hF1vh5k2Y",319
"Bernie Sanders Voted to Protect the Minutemen","2vSvn0cfk-Y",320
"Caucus March 6 | Hillary Clinton","MsTXVzzoZjM",321
"Bill Clinton GOTC | Hillary Clinton","GcjOrSxIhDM",322
"Reactions to McCarthy's Gaffe","JdPreg7yFzQ",323
"The Celebrity Apprentice Video Blog Week 7","ppKRG9TXTkM",324
"From The Desk Of Donald Trump: Why I cancelled the ""great debate""..","xLtPUXBcAZg",325
"GOP Debate Media Reviews","LDdyQiY4Dqg",327
"GUN VIDEO FINAL","zxQ3n7dufOY",328
"Trusted","rHnZISRT3jI",329
"Bernie Sanders Immigration Lie","AvCjlf16iY4",330
"From The Desk Of Donald Trump: Obama's mic, the Debate, and my Endorsement","zs-sIOe0X44",332
"The World | Hillary Clinton","FXeaVWRhcYc",333
"Two Donald Trumps","nh1RFlUfgCQ",334
"Hillary Clinton's closing statement at the Wisconsin debate | Hillary Clinton","Twn5vNSci2E",335
"Watch Miss Universe Tonight!","AKHfXQBp6kM",336
"Hillary Clinton speaks about Donald Trump in her March 15 victory speech | Hillary Clinton","rKYWCECvC38",337
"Get Out To Vote - Illinois","gGka77bMMkA",338
"Wrong for Immigration","sqef3ATiMjY",339
"Johnson Controls | Hillary Clinton","aRFCrjYtrCc",340
"Donald Trump on Gun Violence","T1O0TR5UFuc",341
"Ben Carson Endorses Donald Trump","t6qcmpvZi0Y",342
"The GOP on Universal Background Checks... They're All the Same.","tlHd5420qJk",343
"From The Desk Of Donald Trump 5/12/11","Aa0LVe9QNF0",344
"Sanders Doubles-Down on ""Incorrect"" Qualification Attack","2_YjS7Qzdzk",345
"Ivanka Trump - How to Caucus Nevada","E-p9ol89dQg",346
"Donald J. Trump- Make America Great Again","nKqCEuv5c6M",347
"Trump National Golf Club Colts Neck","akvCVyiprNA",348
"Stand | Hillary Clinton","7nSEBNNxINo",349
"This House | Hillary Clinton","S45P-CiNrv8",350
"Forward | Hillary Clinton","u3Go_x-Ckb0",351
"Hillary listens to a woman's story of pregnancy in the workplace | Hillary Clinton","y5YMIIWGIks",352
"Ivanka Trump invites you to Lord & Taylor","Jo6WrU2P4wo",354
"Republicans vs. Romney's Record","2fJhF6uctfM",355
"Get Ahead | Hillary Clinton","BFQmhGrdxxE",356
"College Affordability | Hillary Clinton","_GL-N-ahseU",357
"Bernie Sanders and the Gun Industry","XhAvMlFbkQ0",358
"The World | Hillary Clinton","Z9JthKUrLfA",360
"Real Progress | Hillary Clinton","aBLTRL7NqC4",361
"Stretched | Hillary's Plan for Raising Family Incomes |  Hillary Clinton","rUDmtEKPnVk",362
"From The Desk Of Donald Trump: Iran and Occupy Wall Street","MWqRIasCf5A",363
"From the Desk of Donald Trump: Major Announcement","MgOq9pBkY0I",364
"From The Desk Of Donald Trump: Inconsiderate Obama","NFMDNg9VGIQ",365
"What advice would you give your younger self? | Quick Question | Hillary Clinton","IAA06j_5H1w",366
"Why","-ueDIgMCO-Q",367
"Clear Difference","gq-i8fTlExs",368
"From The Desk Of Donald Trump 3/31/11","DXU7_cwavzg",369
"Get Out To Vote - Ohio","6weba4SZubI",370
"Caucus Tuesday | Hillary Clinton","S1u7Lcb6rpI",371
"Aidan | Hillary Clinton","mVRJX_RjPic",372
"Totally Weak","Rk3fa63VYrY",373
"Senate Jeanne Shaheen Endorses Hillary Clinton 2016 | Hillary Clinton","8FeDXEEio7s",374
"The Next Generation: Donald Trump Jr.","mFmNMoSvdWE",375
"HIPPY program: supporting children and working families since 1985 | Hillary Clinton","C2qfOwpQv7U",376
"Bernie Sanders on Obamacare","xyXpKa_Wkgg",377
"Secure | Hillary Clinton","FhuwWTIcT24",378
"Community meeting in Flint, Michigan | Hillary Clinton","Vj7DT93C3_Y",380
"Valentía | Hillary Clinton","AKMSuTI8XRk",382
"Ted Cruz and Donald Trump's Anti-Muslim Rhetoric is Wrong and Dangerous","p83NI0LP270",383
"Florida - Early Voting","Dxrb00piJ7w",384
"President Bill Clinton on Hillary's leadership in addressing Flint's water crisis | Hillary Clinton","wrLf-_Knqsc",385
"Inequality | Hillary Clinton","k1-e6ihU5Og",386
"GOP DEBATE 12 15 2015 720P","Prt5_sd0N2s",388
"Ask yourself | Hillary Clinton","1BD3EhXScvc",389
"Eagle | Hillary Clinton","tPydLh_2tB8",390
"Breaking Barriers | Hillary Clinton","cYPwaCjotcY",392
"Sara | Hillary Clinton","3l_hgD9QbFc",393
"The Party of Trump","ILhqWoZwYR0",394
"Wrong For Ending Gun Violence","yd65htZQKJw",395
"Vote March 15 | Hillary Clinton","reslKS3Lfyw",396
"Who won the Debate Last Night?","uDvH-edt_8Q",397
"Hillary Clinton Speech at the New Hampshire Democratic Party Convention | Hillary Clinton","RjarHX2MGTQ",398
"Trump Lies Rough Cut 3","4xRi8Vlptag",399
"Massachusetts - Caucus April 30th - We Need You!","pS7w0GXNYw8",400
"Law Enforcement Respect","Z602D30KUX4",401
"Get Out To Vote - New Hampshire","jp3rQ9XKsTg",402
"John Sweeney Interviews Donald Trump- Unaired Footage 2013","hZlHvVbHqVI",403
"Warren Buffett on why he supports Hillary Clinton for president | Hillary Clinton","rq_0un5CPSo",405
"Every Child | Hillary Clinton","U22UuYAHO0I",406
"Bernie Sanders Avoids the Specifics","eJ9qKrWdIuw",407
"From The Desk Of Donald Trump 8/2/11","2j0OrecMt9E",408
"Caucus March 6 | Hillary Clinton","jhSgDS3iHU8",409
"Wrong on National Security","PYn2yY57qdA",410
"Pharrell Endorsement | Hillary Clinton","wMxhIH0Gqks",411
"Hillary's Vision For a New Future With Cuba","Ddve5VjOfgs",412
"Sanders Praises Bill Clinton","XOum1pNjm8E",413
"Make a Difference","MhmM6MKsPQw",414
"Brave | Hillary Clinton","ttbv0U3jRBo",415
"Loris and Ampad","414qXn66t3I",416
"Caucus Sunday | Hillary Clinton","aebv9UD5Rrs",417
"Strong for Rachel","1e2jF52dlh4",418
"Bernie Sanders: Wrong on Immigration Reform","RMy1rjyupEI",419
"From The Desk Of Donald Trump 8/26/11","V_1irekWZJ0",420
"This House | Hillary Clinton","UQEKWLo6O2c",421
"Political Correctness - Donald J. Trump for President","SYIinBKejnM",422
"The Celebrity Apprentice Video Blog Week 1","AQdDpJ5nFQo",423
"Who He's Talking About","-R03Hli9cHo",424
"Stand | Hillary Clinton","1p4uWHI6GhE",426
"A Dangerous Vision","00bn0_mlo8I",427
"From The Desk Of Donald Trump: Afghanistan","zPYfdDxt1cI",428
