"views","date_id","candidate"
6844,20160216,"Trump"
19074,20160211,"Clinton"
18427,20160417,"Clinton"
164,20160229,"Clinton"
9915,20160508,"Clinton"
14526,20160429,"Trump"
3137,20151217,"Clinton"
84,20151111,"Clinton"
37,20151212,"Clinton"
371,20160317,"Clinton"
572,20160219,"Clinton"
6866,20151220,"Trump"
141,20160411,"Clinton"
70,20151117,"Clinton"
34649,20160126,"Clinton"
584,20160530,"Clinton"
119,20160214,"Clinton"
18294,20160208,"Trump"
71,20160506,"Trump"
194,20160224,"Clinton"
7236,20160523,"Trump"
838,20151227,"Trump"
8459,20160330,"Trump"
237,20151218,"Clinton"
78,20160112,"Clinton"
8135,20160102,"Clinton"
10737,20160329,"Trump"
854,20151205,"Trump"
148,20160420,"Trump"
9391,20151221,"Clinton"
21200,20160419,"Clinton"
182,20160211,"Clinton"
74,20160417,"Clinton"
886,20151226,"Trump"
1327,20160508,"Clinton"
145566,20160218,"Clinton"
75,20160120,"Clinton"
10229,20160213,"Trump"
11541,20160323,"Trump"
104,20160126,"Clinton"
6264,20151222,"Trump"
7627,20151216,"Trump"
4596,20160207,"Trump"
7912,20160504,"Trump"
328,20160229,"Clinton"
278,20160102,"Clinton"
692,20151217,"Clinton"
120,20151221,"Clinton"
515,20160419,"Clinton"
42802,20160405,"Trump"
191,20160411,"Clinton"
373,20151117,"Clinton"
4230,20151214,"Trump"
154,20160218,"Clinton"
229,20160530,"Clinton"
678,20160214,"Clinton"
18954,20160505,"Trump"
1251,20160211,"Clinton"
227,20160417,"Clinton"
21527,20160119,"Trump"
123,20160508,"Clinton"
6135,20160518,"Trump"
4532,20160522,"Clinton"
3492,20151202,"Trump"
77,20160411,"Trump"
9309,20160514,"Trump"
13997,20160203,"Clinton"
225,20160126,"Clinton"
3872,20151231,"Clinton"
13,20160530,"Trump"
49478,20160310,"Clinton"
8,20160102,"Clinton"
19076,20160311,"Trump"
5294,20151209,"Trump"
958,20151115,"Trump"
833,20151106,"Trump"
2920,20160417,"Trump"
51,20151221,"Clinton"
540,20160419,"Clinton"
87,20160508,"Trump"
4778,20160526,"Clinton"
7180,20160516,"Trump"
2189,20160218,"Clinton"
10843,20160408,"Clinton"
3994,20160522,"Clinton"
20636,20160228,"Clinton"
1979,20160203,"Clinton"
26,20151231,"Clinton"
10935,20160327,"Trump"
18363,20160321,"Trump"
27814,20151109,"Clinton"
27486,20151204,"Clinton"
11098,20160415,"Clinton"
69,20160310,"Clinton"
6508,20160110,"Trump"
467,20160419,"Trump"
29145,20160127,"Trump"
1127,20160526,"Clinton"
3108,20151228,"Clinton"
7881,20160403,"Trump"
251,20160408,"Clinton"
168,20160228,"Clinton"
22547,20160216,"Clinton"
6628,20160427,"Trump"
19687,20160426,"Trump"
18329,20151220,"Clinton"
97,20151109,"Clinton"
12285,20160509,"Trump"
133,20151204,"Clinton"
856,20151110,"Trump"
52841,20160118,"Trump"
275,20160415,"Clinton"
11480,20160215,"Trump"
413,20160522,"Clinton"
9489,20160222,"Trump"
99772,20160309,"Trump"
1553,20160203,"Clinton"
4,20151231,"Clinton"
123,20151228,"Clinton"
7103,20160329,"Clinton"
179,20160216,"Clinton"
349,20160310,"Clinton"
70,20151220,"Clinton"
4135,20151206,"Trump"
7376,20160323,"Clinton"
11460,20160521,"Trump"
4551,20151222,"Clinton"
22121,20151216,"Clinton"
367,20160526,"Clinton"
89,20160522,"Trump"
4306,20151029,"Trump"
298,20160408,"Clinton"
13013,20160504,"Clinton"
170,20160228,"Clinton"
10648,20160512,"Trump"
204,20160329,"Clinton"
44,20151109,"Clinton"
1233,20160106,"Trump"
32462,20151214,"Clinton"
12,20151204,"Clinton"
7896,20160402,"Trump"
521,20160415,"Clinton"
5906,20160422,"Trump"
1170,20160323,"Clinton"
146,20151222,"Clinton"
771,20151124,"Trump"
49,20160526,"Trump"
173,20151216,"Clinton"
88,20160408,"Trump"
25,20151228,"Clinton"
11356,20160206,"Trump"
11576,20160225,"Trump"
291,20160504,"Clinton"
1164,20160216,"Clinton"
4696,20160518,"Clinton"
6958,20160421,"Trump"
1525,20151211,"Trump"
5632,20151229,"Trump"
35180,20151202,"Clinton"
1056,20151113,"Trump"
4915,20160514,"Clinton"
90,20151220,"Clinton"
7398,20160515,"Trump"
6158,20160423,"Trump"
6433,20160122,"Trump"
661,20151214,"Clinton"
4307,20151103,"Trump"
3727,20151118,"Trump"
1007,20160415,"Trump"
11061,20160212,"Trump"
343148,20160308,"Trump"
14340,20160131,"Trump"
5144,20160524,"Trump"
100338,20160311,"Clinton"
34720,20151209,"Clinton"
156,20160329,"Clinton"
20692,20160424,"Trump"
872,20151107,"Trump"
132409,20160518,"Clinton"
4636,20160516,"Clinton"
512,20151202,"Clinton"
149,20160514,"Clinton"
5092,20151215,"Trump"
72,20160323,"Clinton"
8061,20160327,"Clinton"
41,20151222,"Clinton"
1735,20151216,"Clinton"
9764,20160511,"Trump"
6033,20160413,"Trump"
131,20160504,"Clinton"
15394,20160314,"Trump"
5452,20160529,"Trump"
63,20160311,"Clinton"
86,20160329,"Trump"
487,20151209,"Clinton"
42128,20160110,"Clinton"
18130,20160210,"Trump"
16794,20160516,"Clinton"
14,20151214,"Clinton"
9230,20160204,"Trump"
784,20160323,"Trump"
6110,20160418,"Trump"
9776,20160406,"Trump"
9012,20160427,"Clinton"
410,20160327,"Clinton"
3889,20151126,"Trump"
5568,20160416,"Trump"
31,20160504,"Trump"
8294,20160401,"Trump"
7360,20160510,"Trump"
5888,20160410,"Trump"
645,20160518,"Clinton"
37817,20160222,"Clinton"
65,20160110,"Clinton"
1,20151202,"Clinton"
804,20160514,"Clinton"
3812,20151207,"Trump"
7637,20160513,"Trump"
7342,20160116,"Trump"
6188,20160407,"Trump"
281,20160427,"Clinton"
291,20160311,"Clinton"
25328,20151206,"Clinton"
2198,20151209,"Clinton"
1253,20160107,"Trump"
3454,20151116,"Trump"
4567,20160521,"Clinton"
76,20160518,"Trump"
6788,20160217,"Trump"
7942,20160326,"Trump"
610,20160516,"Clinton"
56329,20151029,"Clinton"
12,20160514,"Trump"
218,20160222,"Clinton"
14156,20160202,"Trump"
1040,20160103,"Trump"
51,20160327,"Clinton"
3909,20151104,"Trump"
5540,20160111,"Trump"
1059,20151028,"Trump"
904,20151123,"Trump"
8583,20160402,"Clinton"
21160,20160422,"Clinton"
742,20151206,"Clinton"
31,20160110,"Clinton"
7271,20160521,"Clinton"
15699,20160316,"Trump"
74,20160516,"Trump"
14609,20160206,"Clinton"
115724,20160225,"Clinton"
980,20160101,"Trump"
3778,20151029,"Clinton"
7698,20160123,"Trump"
881,20151201,"Trump"
44477,20160322,"Trump"
53,20160327,"Trump"
26244,20160421,"Clinton"
567,20160427,"Clinton"
2480,20151229,"Clinton"
5346,20160105,"Trump"
6336,20160114,"Trump"
980,20151122,"Trump"
16277,20160423,"Clinton"
35319,20160122,"Clinton"
36862,20151103,"Clinton"
13615,20151118,"Clinton"
6723,20151219,"Trump"
9665,20160507,"Trump"
554,20160402,"Clinton"
5037,20160422,"Clinton"
6477,20160125,"Trump"
